No.,Tissue,Elevated_Gene_symbol,GO_BP,GO_MF,GO_CC,REACTOME,KEGG,BIOCARTA
290,Adrenal Gland,CLRN1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
291,Adrenal Gland,CRYBA2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
292,Adrenal Gland,EPHA8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
293,Adrenal Gland,GRAMD1B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
294,Adrenal Gland,INSM2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
295,Adrenal Gland,NPTX2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296,Adrenal Gland,NRIP3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
297,Adrenal Gland,PEG10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
298,Adrenal Gland,PNMA8B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
299,Adrenal Gland,SATL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
300,Adrenal Gland,SCD5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
301,Adrenal Gland,SORCS3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
302,Adrenal Gland,TCEAL6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
303,Adrenal Gland,TUBB4A,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
304,Adrenal Gland,UNC80,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
305,Adrenal Gland,ZBED6CL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
306,Adrenal Gland,AADAC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
307,Adrenal Gland,ABCB1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
308,Adrenal Gland,AC011455.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
309,Adrenal Gland,AC068580.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
